product_id,name,category,price,description,features,ideal_for,limitations,product_url,active
P-001,Alder Ergonomic Task Chair,Office Chair,24999,"Adjustable ergonomic task chair with breathable mesh back, lumbar support, 3D armrests, seat-depth adjustment and synchronized tilt.","adjustable lumbar support, breathable mesh, 3D armrests, seat depth adjustment, synchro tilt, 120 kg capacity",home office; long work sessions; ergonomic desk setups,Assembly required; headrest not included.,https://oakandember.example/products/P-001,1
P-002,Ember Executive Ergo Chair,Office Chair,32999,"Premium ergonomic chair with adjustable lumbar support, headrest, 4D armrests, aluminum base and reclining backrest.","adjustable lumbar support, headrest, 4D armrests, aluminum base, reclining backrest, 135 kg capacity",executive offices; long work sessions; premium home offices,Heavier and less compact than a task chair.,https://oakandember.example/products/P-002,1
P-003,Cedar Compact Task Chair,Office Chair,17999,"Compact ergonomic chair designed for smaller workspaces, featuring breathable fabric, height adjustment and fixed lumbar contour.","breathable fabric, height adjustment, compact footprint, fixed lumbar support, 100 kg capacity",small home offices; bedrooms; compact desks,Lumbar support is not adjustable; no headrest.,https://oakandember.example/products/P-003,1
P-004,Maple Sit-Stand Desk 120,Office Desk,28999,"Electric height-adjustable desk with a 120 cm work surface, dual-motor lift and programmable memory presets.","electric height adjustment, dual motor, 3 memory presets, 120 cm top, cable tray",home office; alternating sitting and standing; compact rooms,120 cm width may be limiting for multi-monitor setups.,https://oakandember.example/products/P-004,1
P-005,Oak Executive Sit-Stand Desk 160,Office Desk,42999,"Spacious electric sit-stand desk with a 160 cm solid-wood surface, dual motors, anti-collision sensing and four memory presets.","electric height adjustment, dual motor, 4 memory presets, 160 cm top, anti-collision, cable management",executive offices; multi-monitor setups; premium home offices,Larger footprint and higher price.,https://oakandember.example/products/P-005,1
P-006,Birch Modular Work Desk,Office Desk,19999,"Minimalist 140 cm work desk using FSC-certified birch panels, with integrated cable management and a durable powder-coated steel frame.","FSC-certified birch, 140 cm top, cable management, steel frame, modular design",sustainable home offices; general office work; minimalist rooms,Fixed height; no sit-stand function.,https://oakandember.example/products/P-006,1
P-007,Willow Ergonomic Monitor Stand,Office Accessory,6999,Adjustable monitor stand made from recycled aluminum with cable routing and a two-height adjustment system.,"recycled aluminum, adjustable height, cable routing, dual-height positions",ergonomic desk setups; laptop and monitor users,Supports one main monitor; not a dual-arm mount.,https://oakandember.example/products/P-007,1
P-008,Ash Mobile Pedestal,Storage,11999,"Compact three-drawer mobile pedestal with soft-close runners, lockable top drawer and casters.","3 drawers, soft-close, lockable top drawer, casters, compact footprint",home offices; shared workspaces; document storage,Storage capacity is limited compared with full-size cabinets.,https://oakandember.example/products/P-008,1
P-009,Juniper Two-Seat Sofa,Sofa,44999,"Two-seat contemporary sofa with high-resilience foam cushions, removable woven upholstery and FSC-certified timber frame.","2 seats, high-resilience foam, removable upholstery, FSC-certified timber frame",living rooms; apartments; reading areas,Two-seat capacity; not ideal for large households.,https://oakandember.example/products/P-009,1
P-010,Haven Modular 3-Seat Sofa,Sofa,69999,"Three-seat modular sofa with reversible chaise configuration, stain-resistant upholstery and FSC-certified timber frame.","3 seats, modular, reversible chaise, stain-resistant fabric, FSC-certified timber",family living rooms; flexible layouts; modern apartments,Larger footprint; chaise configuration needs occasional repositioning.,https://oakandember.example/products/P-010,1
P-011,Sierra Lounge Armchair,Lounge Chair,24999,Deep-seat lounge armchair with supportive foam cushioning and natural-fiber upholstery for reading and relaxed seating.,"deep seat, supportive foam, natural-fiber upholstery, solid timber frame",reading corners; bedrooms; living rooms,Not designed as a task or desk chair.,https://oakandember.example/products/P-011,1
P-012,Terra Reclaimed-Wood Coffee Table,Coffee Table,22999,Low-profile coffee table crafted from reclaimed wood with a clear protective finish and rounded edges.,"reclaimed wood, protective finish, rounded edges, low profile",living rooms; sustainable interiors; lounge spaces,Natural wood variation means each surface has a unique appearance.,https://oakandember.example/products/P-012,1
P-013,Luna Storage Coffee Table,Coffee Table,19999,"Modern coffee table with hidden lift-top storage, useful for compact living rooms and flexible work-from-sofa setups.","lift-top, hidden storage, compact footprint, engineered wood",small apartments; flexible living rooms; occasional laptop work,Not intended as a primary office desk.,https://oakandember.example/products/P-013,1
P-014,Solace 6-Seat Dining Table,Dining Table,54999,"Six-seat dining table with a solid oak-look top, durable water-resistant finish and reinforced steel legs.","6 seats, water-resistant finish, reinforced steel legs, durable top",family dining; entertaining; modern homes,Requires a larger dining area.,https://oakandember.example/products/P-014,1
P-015,Elm Extendable Dining Table,Dining Table,62999,"Extendable dining table that seats six normally and up to eight when extended, using responsibly sourced timber.","6-8 seats, extendable, responsibly sourced timber, durable finish",entertaining; family dining; adaptable spaces,Extension leaves require storage when not installed.,https://oakandember.example/products/P-015,1
P-016,Nook Compact Dining Set,Dining Set,29999,Space-saving four-seat dining set with a compact rectangular table and stackable chairs.,"4 seats, compact footprint, stackable chairs, durable laminate top",small apartments; breakfast areas; compact dining rooms,Limited to four regular seats.,https://oakandember.example/products/P-016,1
P-017,Koa Filing Cabinet,Storage,15999,Two-drawer metal filing cabinet with central locking and anti-tip drawer interlock for office documents.,"2 drawers, central lock, anti-tip mechanism, metal construction",home offices; small businesses; document storage,Metal construction is heavier than lightweight pedestal storage.,https://oakandember.example/products/P-017,1
P-018,Moss Open Bookcase,Bookcase,18999,Five-tier open bookcase with FSC-certified wood shelves and a powder-coated steel frame.,"5 tiers, FSC-certified shelves, steel frame, open storage",home offices; living rooms; books and decor,Open shelves collect dust more readily than closed storage.,https://oakandember.example/products/P-018,1
P-019,Ridge Ergonomic Footrest,Office Accessory,4999,Height-adjustable desk footrest with textured recycled-plastic surface to support varied seated positions.,"height adjustable, recycled plastic, textured surface, tilt function",desk ergonomics; home office; shared workstations,Accessory only; does not replace an ergonomic chair.,https://oakandember.example/products/P-019,1
P-020,Fern Task Lamp,Lighting,5999,"LED task lamp with adjustable arm, three brightness levels and a warm-to-neutral color temperature range.","LED, adjustable arm, 3 brightness levels, warm-to-neutral color range",home office; study desks; reading areas,USB power adapter not included.,https://oakandember.example/products/P-020,1
P-021,Drift Home Office Bundle,Office Bundle,59999,"Coordinated home-office bundle combining an ergonomic task chair, compact sit-stand desk and monitor stand.","ergonomic chair, sit-stand desk, monitor stand, coordinated setup",complete home office; first-time setup; space-conscious workstations,Bundle components have limited finish choices.,https://oakandember.example/products/P-021,1
P-022,Ember Conference Table 180,Conference Table,73999,"180 cm conference table with cable access ports, durable laminate top and steel pedestal base.","180 cm top, cable access, durable laminate, steel pedestal base",meeting rooms; small conference spaces; collaborative work,Large footprint; chairs sold separately.,https://oakandember.example/products/P-022,1
